;participant_id;goal_id;goal;tree_id;Depth;Content Specificity ;Time Specificity;Hierarchy - High Level;Hierarchy - Low Level;Network Congruence;Measurability;Approach/ Avoidance Framing;Process Focus;Outcome Focus;Immediate Actionability;Estimated Effort;Plannability;Controllability;Challenge;Defined Subgoals;Social Support;Informational Support;Instrumental Support;Financial Affordance;Visibility;Time Availability;Competence Adequacy;Self-Congruence;Value Congruence;Importance;Awareness;Vitality;Long-Term Utility;Short-Term Utility;Relative Utility;Self- Improvement Utility;Negative Utility
g_5533;1125;g_5533;CogSci vertiefen;608;0.5000;0.6350;0.8950;0.8950;1.0000;1.0000;0.4900;1.0000;0.7100;0.0000;1.0000;0.7500;0.7900;0.9800;0.0000;0.9200;0.7100;1.0000;1.0000;1.0000;0.8750;1.0000;1.0000;0.7700;1.0000;1.0000;1.0000;0.9200;1.0000;0.8200;1.0000;0.8550;0.0000
g_5534;1125;g_5534;Info vertiefen;608;0.5000;0.8250;0.9800;0.8100;1.0000;1.0000;0.8750;1.0000;0.6150;0.0000;1.0000;0.8950;1.0000;1.0000;0.0000;1.0000;0.6300;1.0000;1.0000;1.0000;0.8750;1.0000;1.0000;0.7650;1.0000;0.9700;1.0000;0.9050;1.0000;0.7950;0.7500;0.8550;0.0000
g_5535;1125;g_5535;Psychologie belegen;608;1.0000;0.9700;0.9600;0.5850;1.0000;1.0000;0.5750;1.0000;0.5350;0.2950;1.0000;0.7800;0.8000;1.0000;0.2700;0.7650;0.0000;1.0000;1.0000;1.0000;0.5850;1.0000;1.0000;0.2700;1.0000;0.8200;1.0000;0.7650;1.0000;0.8200;0.2000;0.8000;0.0000
g_5537;1125;g_5537;Negative Kurse vermerken;608;1.0000;0.9150;0.9900;0.3300;1.0000;1.0000;0.8750;1.0000;0.0000;1.0000;1.0000;0.9400;1.0000;1.0000;0.0000;1.0000;0.0000;1.0000;1.0000;1.0000;0.1250;1.0000;1.0000;0.2600;1.0000;0.8200;1.0000;0.3700;1.0000;0.8800;0.1250;0.5550;0.0000
g_5538;1125;g_5538;Grundkurse abschließen;608;1.0000;1.0000;1.0000;0.3350;1.0000;1.0000;1.0000;1.0000;0.5850;0.0700;1.0000;0.9650;1.0000;1.0000;0.0000;1.0000;0.0000;1.0000;1.0000;1.0000;0.5000;1.0000;1.0000;0.6750;1.0000;0.9100;1.0000;0.6250;1.0000;0.8400;0.7500;0.8350;0.0000
g_5539;1125;g_5539;Positive Aspekte vermerken;608;1.0000;0.9150;0.9950;0.3300;1.0000;1.0000;0.8750;1.0000;0.0000;1.0000;1.0000;0.9450;1.0000;1.0000;0.0000;1.0000;0.0000;1.0000;1.0000;1.0000;0.1250;1.0000;1.0000;0.2650;1.0000;0.8200;1.0000;0.3700;1.0000;0.8850;0.1250;0.5550;0.0000
g_5540;1125;g_5540;Negatives vermerken;608;1.0000;0.9100;1.0000;0.3300;1.0000;1.0000;0.8750;1.0000;0.0000;1.0000;1.0000;0.9400;1.0000;1.0000;0.0000;1.0000;0.0000;1.0000;1.0000;1.0000;0.1250;1.0000;1.0000;0.2650;1.0000;0.8200;1.0000;0.3700;1.0000;0.8850;0.1250;0.5550;0.0000
g_5541;1125;g_5541;PO lesen;608;1.0000;0.9350;0.9850;0.0650;1.0000;1.0000;1.0000;1.0000;0.0600;1.0000;1.0000;0.7050;1.0000;1.0000;0.0000;1.0000;0.0000;1.0000;1.0000;1.0000;0.2200;1.0000;1.0000;0.2800;1.0000;0.8200;1.0000;0.2300;1.0000;0.8300;0.2050;0.5200;0.0000
g_5536;1125;g_5536;Positive Kurse vermerken;608;1.0000;0.9150;0.9900;0.3300;1.0000;1.0000;0.8750;1.0000;0.0000;1.0000;1.0000;0.9400;1.0000;1.0000;0.0000;1.0000;0.0000;1.0000;1.0000;1.0000;0.1250;1.0000;1.0000;0.2650;1.0000;0.8200;1.0000;0.3700;1.0000;0.8800;0.1250;0.5550;0.0000
g_5532;1125;g_5532;Mich breit bilden um die genaue Richtung zu finden, die mir am meisten zusagt;608;0.0000;0.6050;0.9700;0.8450;1.0000;1.0000;0.3850;1.0000;0.2250;0.5600;1.0000;0.8750;0.6550;0.9450;0.1250;0.8750;0.5200;0.7100;1.0000;1.0000;0.8200;1.0000;1.0000;0.7800;1.0000;1.0000;1.0000;0.8900;1.0000;0.8750;0.7500;0.9150;0.0000
g_5561;1141;g_5561;1. Sehr gute Noten;613;0.0000;0.9250;0.8950;0.7700;0.7500;0.4850;0.7450;0.7700;0.5250;0.7500;0.0600;0.1800;0.6100;0.4400;0.2700;0.2900;0.8750;0.9400;1.0000;1.0000;1.0000;0.5000;0.9550;0.3200;0.8600;1.0000;1.0000;0.5000;1.0000;0.5500;0.8300;0.8300;0.5850
g_5562;1141;g_5562;Klausuren bestehen;613;0.5000;0.9200;0.8950;0.7700;0.7850;0.4900;0.8250;0.7550;0.6850;0.7500;0.1450;0.1750;0.7450;0.4500;0.2800;0.8250;0.8750;0.9400;1.0000;1.0000;1.0000;0.5000;0.9750;0.3200;0.8600;1.0000;1.0000;0.4950;1.0000;0.4950;0.7900;0.7850;0.5350
g_5563;1141;g_5563;Lernen;613;1.0000;0.4000;0.4450;0.5150;0.8250;0.4900;0.2700;0.8150;1.0000;0.4000;0.6450;0.0000;0.9650;1.0000;0.3050;0.9600;0.8750;0.9400;1.0000;1.0000;0.5300;0.5600;0.8850;0.0250;0.4750;0.8750;1.0000;0.4100;1.0000;0.4050;0.7550;0.6700;0.8450
g_5698;1227;g_5698;Tagesstruktur;633;0.4000;0.7700;0.6850;0.8550;0.7250;1.0000;0.7600;0.8000;0.3450;0.5550;0.8950;0.5700;0.7450;0.8150;0.7950;0.8400;0.8750;0.4200;0.5000;0.9200;0.9150;0.7850;0.6450;0.5950;0.6150;0.8900;0.9450;0.3700;0.8400;0.5050;0.8050;0.8450;0.2250
g_5699;1227;g_5699;Konkret Tagesziele festlegen;633;1.0000;0.9650;0.7350;0.5300;0.9700;1.0000;0.9150;0.9250;0.2250;0.8800;0.9600;0.6900;0.9950;0.9250;0.3300;1.0000;0.9400;0.4550;0.5000;1.0000;0.6000;1.0000;0.9350;0.4950;0.7150;0.9050;0.9500;0.5300;0.8450;0.5300;0.6950;0.8100;0.0000
g_5700;1227;g_5700;Alltagsroutine aufbauen;633;0.6667;0.7550;0.3000;0.8500;0.8400;1.0000;0.8500;0.8800;0.7100;0.6350;0.9250;0.4400;0.7250;0.6550;0.8750;0.9750;0.9850;0.4500;0.5350;1.0000;0.9200;1.0000;0.6700;0.8850;0.7250;0.9750;1.0000;0.5400;0.9650;0.4500;0.9400;0.8900;0.2000
g_5701;1227;g_5701;Relativ feste Auftehzeit;633;1.0000;0.9200;0.6950;0.3250;0.8800;0.8200;0.9250;0.5700;0.2350;0.6900;0.7500;0.5300;0.7150;0.6350;0.2750;0.9150;0.5750;0.3150;0.5000;0.9900;0.7450;1.0000;1.0000;0.4900;0.4600;0.4100;0.8200;0.5300;0.5850;0.5200;0.2500;0.5000;0.2450
g_5702;1227;g_5702;Feste Zeiträume zum arbeiten;633;1.0000;0.9100;0.7100;0.4800;0.9600;1.0000;1.0000;0.7450;0.2350;0.7050;0.7200;0.3200;0.7200;0.6400;0.8550;0.9550;0.8200;0.3750;0.5700;1.0000;0.8600;0.8900;0.6500;0.6900;0.7450;0.8900;1.0000;0.5100;0.9050;0.4500;0.7650;0.8450;0.2550
g_5703;1227;g_5703;Klarer Feierabend/ Zeiten für Freizeit;633;1.0000;0.9100;0.7000;0.4750;0.9650;1.0000;0.9350;0.9250;0.2300;0.6750;0.7250;0.3900;0.7200;0.6400;0.3050;0.8000;0.5050;0.3800;0.5350;0.8750;0.7600;0.8700;0.8400;0.5750;0.9100;0.8200;0.9500;0.5000;1.0000;0.5150;0.2500;0.5950;0.2500
g_5704;1227;g_5704;Tägliches Tagebuch und Kalender führen;633;1.0000;1.0000;0.7000;0.4550;0.8850;1.0000;1.0000;1.0000;0.4350;0.6350;1.0000;0.8750;1.0000;1.0000;0.2200;1.0000;0.9100;0.2850;0.5000;1.0000;0.6100;1.0000;1.0000;0.9250;1.0000;0.9800;1.0000;0.5650;0.9700;0.5900;0.8750;1.0000;0.0000
g_5705;1227;g_5705;Hobbies und Freizeit planen;633;0.5000;0.4950;0.7050;0.3100;0.7750;0.8900;0.4450;0.7800;0.4300;0.3750;0.6450;0.4050;0.7100;0.7950;0.5600;0.3900;0.5950;0.3400;0.5000;1.0000;0.6400;0.7900;0.8150;0.3700;0.4300;0.3800;0.6050;0.4800;0.5250;0.5050;0.2500;0.5400;0.2500
g_5706;1227;g_5706;Feste Wöchentliche Termine zum Sport machen mit anderen Menschen;633;1.0000;0.9100;0.7150;0.4800;0.7250;0.6300;1.0000;0.9600;0.0350;0.8950;0.8450;0.3800;0.6250;0.6500;0.8500;0.1200;0.5650;0.4100;0.6950;0.3500;0.8200;0.6000;0.6300;0.6100;0.7150;0.7400;0.8300;0.5450;0.8150;0.3550;0.3350;0.6650;0.2200
g_5707;1227;g_5707;konkret Planen wann ich welchem Hobbie nachgehe;633;1.0000;0.7450;0.7250;0.4800;0.7350;0.6500;0.6150;0.7950;0.0300;0.4250;0.6950;0.4950;0.5700;0.9400;0.3850;0.6850;0.6500;0.3700;0.5000;0.9450;0.5400;0.8200;0.6150;0.4050;0.4350;0.3750;0.5950;0.4800;0.5300;0.5250;0.2500;0.5350;0.2500
g_5708;1227;g_5708;Prokrastination vermeiden;633;0.5000;0.3700;0.4700;0.9500;0.4800;1.0000;0.5000;0.0000;0.8050;0.2400;0.7950;0.1550;0.5450;0.4250;1.0000;0.4000;1.0000;0.5650;0.5850;0.8200;0.8800;0.8100;0.4200;0.9100;0.8750;1.0000;1.0000;0.5450;1.0000;0.5050;0.9650;1.0000;0.2800
g_5709;1227;g_5709;Bewusst auf Langzeitresultate fokussieren;633;1.0000;0.5050;0.3200;0.8850;0.5850;0.9300;0.1400;0.8550;0.9300;0.0700;0.7800;0.1100;0.2450;0.6650;1.0000;0.4800;0.9100;0.5500;0.5100;0.8100;0.7050;0.6250;0.5300;0.8800;0.9100;1.0000;0.7100;0.5250;0.9950;0.5600;0.5700;0.9900;0.2100
g_5710;1227;g_5710;Automatische Denkmuster verändern;633;1.0000;0.5050;0.3300;0.8350;0.5850;0.9250;0.1150;0.8500;0.9300;0.0750;0.7900;0.0900;0.1900;0.5950;0.9300;0.4800;0.9100;0.5500;0.5050;0.8050;0.7050;0.6300;0.5300;0.8850;0.9150;1.0000;0.7450;0.5200;0.9350;0.6250;0.5700;0.9950;0.2850
g_5697;1227;g_5697;Das ich mir selbst Arbeitsstrukturen aufgebaut habe, die gut für meine mentale Gesundheit und Produktivität sind.;633;0.0000;0.1650;0.3300;1.0000;0.1950;0.7000;0.1750;0.7500;0.9250;0.0850;0.8850;0.3100;0.4150;0.6300;0.9550;0.6750;0.9650;0.4200;0.5050;0.7200;0.8700;0.6800;0.6200;0.8700;1.0000;1.0000;0.9450;0.4950;1.0000;0.5100;0.9650;1.0000;0.0650
g_5686;1226;g_5686;Ich möchte mein Studium gut abschließen.;631;0.0000;0.7500;1.0000;1.0000;1.0000;0.7500;0.7500;0.8750;0.2500;0.7500;0.5600;0.0000;0.7500;1.0000;0.5000;0.6850;1.0000;0.7500;1.0000;1.0000;0.8750;1.0000;0.8750;1.0000;1.0000;1.0000;1.0000;0.5700;1.0000;0.3800;1.0000;0.8750;0.1250
g_5687;1226;g_5687;gute Noten;631;0.5000;0.8050;1.0000;0.8750;1.0000;0.8750;0.5500;1.0000;0.2500;0.7550;0.6800;0.0000;0.7500;1.0000;0.5000;0.6850;1.0000;0.7500;1.0000;1.0000;0.8750;1.0000;0.6800;0.7500;1.0000;1.0000;1.0000;0.4400;1.0000;0.2500;0.7500;0.4350;0.1250
g_5688;1226;g_5688;viel lernen;631;1.0000;0.6350;1.0000;0.5000;1.0000;0.7500;0.7500;1.0000;0.7900;0.2450;0.8200;0.1250;0.8250;1.0000;0.5000;0.6850;1.0000;0.7500;1.0000;1.0000;0.8750;1.0000;0.8750;0.7500;1.0000;1.0000;1.0000;0.3800;1.0000;0.2500;0.6250;0.8300;0.1250
g_5689;1226;g_5689;Examen bestehen;631;1.0000;0.9350;1.0000;0.7500;1.0000;0.8750;0.5450;1.0000;0.2500;0.7500;0.6800;0.0000;0.7500;1.0000;0.5000;0.6850;1.0000;0.7500;1.0000;1.0000;0.8750;1.0000;0.6850;0.7500;1.0000;1.0000;1.0000;0.4400;1.0000;0.2500;0.6850;0.4350;0.1250
